;StructID;ClusterID;ClosestToCenter;Energy;LowEne;AptaMat;Bp;MfeDist;Probability;Structure
2636;1725;5;0;-5.271;0;6.58;15;16;5.2e-05;...........((((.(((....)))))))...((.....))..........((((......)))).((...))..
2637;1754;5;0;-5.259;0;5.71;13;35;5.1e-05;..............(((....)))..((.......))..(((.........(((((......))))))))......
2638;1776;5;0;-5.257;0;2.69;14;23;5.1e-05;...........((((..((....)).)))).......(.(((.........((((........))))))).)....
2639;1792;5;0;-5.247;0;3.45;15;28;5e-05;.........(.((((...........))))..)...((.(((.........(((((......))))))))...)).
2640;1796;5;0;-5.248;0;3.76;15;32;5e-05;.........(.((((((....))))...))..)......(((.........(((((......))))))))......
2641;1814;5;0;-5.246;0;7.31;14;40;5e-05;...((..(((.(......).)))..))............(((.........(((((......))))))))......
2642;1821;5;0;-5.234;0;3.58;15;30;4.9e-05;.........(.((((((....)))...)))..)......(((.........(((((......))))))))......
2643;1831;5;0;-5.236;0;2.91;17;24;4.9e-05;...........((((.((......)))))).....(((.(((.........(((((......))))))))...)))
2644;1832;5;0;-5.237;0;2.97;18;25;4.9e-05;.........(.((((..((....)).))))..)..(((.(((.........(((((......))))))))...)))
2645;1834;5;0;-5.238;0;7.42;15;40;4.9e-05;...((..(((.((....)).)))..))............(((.........(((((......))))))))......
2646;1872;5;0;-5.22;0;3.68;16;34;4.8e-05;...........((((((....))))...))......((.(((.........(((((......))))))))...)).
2647;1873;5;0;-5.22;0;4.3;12;36;4.8e-05;..............(((....))).............(.(((.........(((((......)))))))).)....
2648;1880;5;0;-5.215;0;3.45;15;28;4.7e-05;...........((((.(((....))))))).......(.(((.....((..((........))..))))).)....
2649;1884;5;0;-5.217;0;3.5;12;27;4.7e-05;...........(((.............))).......(.(((.........(((((......)))))))).)....
2650;1915;5;0;-5.205;0;4.86;17;24;4.6e-05;..((...))..((((..((....)).))))..(...)..(((.........(((((......))))))))......
2651;1924;5;0;-5.206;0;3.5;16;32;4.7e-05;...........((((((....)))...)))......((.(((.........(((((......))))))))...)).
2652;1951;5;0;-5.195;0;3.35;16;23;4.6e-05;..(.....)..(((..(((....))).))).......(.(((.........(((((......)))))))).)....
2653;1952;5;0;-5.195;0;4.26;16;30;4.6e-05;..(.....)..((((...........)))).....(((.(((.........(((((......))))))))...)))
2654;1980;5;0;-5.176;0;5.09;16;18;4.4e-05;..(.....)..((((.(((....)))))))...((.....))......(..(((((......)))))..)......
2655;1983;5;0;-5.176;0;4.4;12;35;4.4e-05;.............((((....))))..............(((.........(((((......))))))))......
2656;2001;5;0;-5.173;0;2.17;17;19;4.4e-05;...........((((.(((....)))))))....(..(.(((.........(((((......)))))))).))...
2657;2002;5;0;-5.174;0;3.46;17;22;4.4e-05;..(.....)..((((.(((....))))))).........(((.........(((((.(...)))))))))......
2658;2003;5;0;-5.174;0;3.51;17;25;4.4e-05;..(.....)..((((.(((....))))))).........(((.........((((.((...)))))))))......
2659;2034;5;0;-5.166;0;3.52;15;18;4.3e-05;..(.....)..((((.(((....))))))).........(((..........((((......)))).)))......
2660;2051;5;0;-5.163;0;2.91;17;24;4.3e-05;...........((((.(((....))))))).....(((.(((.........((((........)))))))...)))
2661;2068;5;0;-5.159;0;3.06;17;21;4.3e-05;.....(....)((((.(((....))))))).......(.(((.........(((((......)))))))).)....
2662;2078;5;0;-5.153;0;8.34;11;35;4.3e-05;....................(((...........)))..(((.........(((((......))))))))......
2663;2083;5;0;-5.156;0;3.35;16;23;4.3e-05;..(.....)..((((.((......)))))).......(.(((.........(((((......)))))))).)....
2664;2085;5;0;-5.149;0;3.74;13;31;4.2e-05;...........((.(((....)))....)).........(((.........(((((......))))))))......
2665;2089;5;0;-5.151;0;4.29;13;26;4.2e-05;...(...)...((((...........)))).........(((.........(((((......))))))))......
2666;2102;5;0;-5.147;0;3.03;13;22;4.2e-05;...........((((.(((....))))))).........(((.........(((..........))))))......
2667;2115;5;0;-5.139;0;3.23;13;25;4.1e-05;...........((((.(.....)...)))).........(((.........(((((......))))))))......
2668;2142;5;0;-5.131;0;7.61;13;35;4.1e-05;..............(((....)))...(((.........)))....(.(..(((((......)))))..).)....
2669;2158;5;0;-5.121;0;2.73;15;21;4e-05;...........((((.(((....))))))).........(((.........((((.(.....))))))))......
2670;2163;5;0;-5.123;0;3.03;13;24;4e-05;...........((((.(.......).)))).........(((.........(((((......))))))))......
2671;2165;5;0;-5.123;0;4.11;17;25;4e-05;..((...))..(((..(((....))).))).......(.(((.........(((((......)))))))).)....
2672;2166;5;0;-5.123;0;5.0;17;32;4e-05;..((...))..((((...........)))).....(((.(((.........(((((......))))))))...)))
2673;2167;5;0;-5.123;0;3.33;15;20;4e-05;...........(((..(((....))).)))..(...)..(((.........(((((......))))))))......
