,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,Probability
216,.........(.(((..(((....))).)))..).......((.....))...((((......)))).,13,-6.166,4,0.000538
217,...........((((..((....)).))))......(...........)...((((......)))).,11,-6.161,7,0.000534
218,...........((((..((....)).))))......((....))........(((........))).,11,-6.159,12,0.000532
219,..(.....)..((((.(((....))))))).............((.....))((((......)))).,14,-6.158,10,0.000531
220,..............(((....)))................(((...)))...((((......)))).,10,-6.143,19,0.000518
221,...........(((.............)))..........(((...)))...((((......)))).,10,-6.14,10,0.000515
222,...........((((.(((....)))))))..........(((...)))....(((......)))..,13,-6.138,4,0.000513
223,...........((((.(((....)))))))...(..((....)).)......((((......)))).,14,-6.132,10,0.000508
224,.........(.((((.((......))))))..).......((.....))...((((......)))).,13,-6.127,4,0.000504
225,.......(((.(..(((((.........((.........)).......)))))..).))).......,11,-6.124,37,0.000501
226,.........(.((((.(((....)))))))..)....((.....))......((((......)))).,14,-6.123,10,0.000500
227,..............(((....)))............((....))........((((......)))).,9,-6.122,25,0.000500
228,...........(((.............)))......((....))........((((......)))).,9,-6.119,16,0.000497
229,......((((.((((.(((....)))))))....(((....................)))..)))).,14,-6.119,22,0.000497
230,..(.....)..(((..(((....))).)))..........(((...)))...((((......)))).,14,-6.117,6,0.000496
231,...........((((.(((....)))))))......((....)).........(((......)))..,12,-6.117,10,0.000496
232,..((....((.((((..((....)).))))..))))....((.....))...((((......)))).,16,-6.115,10,0.000494
233,...(...)...((((.(((....)))))))......................((((......)))).,12,-6.106,6,0.000486
234,..(((......((((..((....)).))))...)))....((.....))...((((......)))).,15,-6.102,8,0.000483
235,..(((....(.((((..((....)).))))..))))....((.....))...((((......)))).,16,-6.101,10,0.000483
236,...........((((...........)))).............((.....))((((......)))).,10,-6.1,14,0.000481
237,..(((...(..((((..((....)).)))).).)))....((.....))...((((......)))).,16,-6.097,10,0.000479
238,..(.....)..(((..(((....))).)))......((....))........((((......)))).,13,-6.097,12,0.000479
239,...........((((..((....)).)))).............(((...)))((((......)))).,13,-6.094,12,0.000476
240,...((..(((..........)))..))..((((.......))))........((((......)))).,13,-6.09,31,0.000473
241,..((...))..((((.(((....))))))).............((.....))((((......)))).,15,-6.087,12,0.000471
242,.....(....)((((.(((....)))))))..........(((...)))...((((......)))).,15,-6.082,4,0.000467
243,..(.....)..((((.((......))))))..........(((...)))...((((......)))).,14,-6.079,6,0.000465
244,.....(..((.((((...........))))..))..)...(((...)))...((((......)))).,14,-6.071,14,0.000458
245,...........((((.(((....)))))))......................(((.((...))))).,12,-6.07,9,0.000458
246,...........((((.(((....)))))))......................((((.(...))))).,12,-6.07,6,0.000458
247,.....(((((.((.(((((........(((.........)))......))))).)).)))....)).,15,-6.069,39,0.000457
248,.......(((.(..(((((.....(..(((.........)))..)...)))))..).))).......,13,-6.068,38,0.000456
249,.......(((.(..(((((..((.(((.............)))))...)))))..).))).......,14,-6.065,41,0.000454
250,.....(....)((((.(((....)))))))......((....))........((((......)))).,14,-6.062,10,0.000451
251,..(.....)..((((((....))))...))..........((.....))...((((......)))).,13,-6.059,15,0.000449
252,..(.....)..((((.((......))))))......((....))........((((......)))).,13,-6.058,12,0.000449
253,.......(((.((.(((((..........(((.........)))....))))).)).))).......,13,-6.058,40,0.000449
254,..(.....)..((((.(((....)))))))......(......)........((((......)))).,13,-6.056,8,0.000447
255,.........(.((((.(((....)))))))..).......((.....))...(((........))).,13,-6.054,4,0.000446
256,...........((((..((....)).)))).....((...........))..((((......)))).,12,-6.053,9,0.000445
257,..((...))..(((..(((....))).)))..........(((...)))...((((......)))).,15,-6.046,8,0.000440
258,..(.....)..((((((....)))...)))..........((.....))...((((......)))).,13,-6.045,13,0.000439
259,...........((((.(((....)))))))...((.....)).((.....))((((......)))).,15,-6.042,10,0.000436
260,..........(..((((....)))).)..(((.........)))........((((......)))).,12,-6.041,26,0.000436
261,..........((..........)).....((((.......))))........((((......)))).,10,-6.033,25,0.000430
262,.......(((.((((.(((....)))))))..))..)...((.....))...((((......)))).,16,-6.03,6,0.000428
263,......(.((.((((...........))))..))..)...(((...)))...((((......)))).,14,-6.029,14,0.000427
264,.............((((....))))...((.........))...........((((......)))).,10,-6.029,22,0.000427
265,..((...))..(((..(((....))).)))......((....))........((((......)))).,14,-6.025,14,0.000425
266,....((..((.((((.(((....)))))))..))..))..............((((......)))).,15,-6.018,12,0.000419
267,..(.....).....(((....)))...(((.........)))..........((((......)))).,11,-6.008,24,0.000412
268,..((...))..((((.((......))))))..........(((...)))...((((......)))).,15,-6.008,8,0.000412
269,..(.....)..((((.(((....)))))))..........(((...)))...(((........))).,14,-6.006,6,0.000411
270,...(...)...((((..((....)).))))..........((.....))...((((......)))).,13,-6.004,4,0.000410
271,..(.....)..((((.(((....)))))))..(...)...............((((......)))).,13,-5.999,8,0.000406
272,...........((((...........))))......(......)........((((......)))).,9,-5.998,12,0.000405
273,..(.....)..((((..((....)).))))...((.....))..........((((......)))).,13,-5.997,10,0.000405
274,........((.((((...........))))..))......(((...)))...((((......)))).,13,-5.991,12,0.000401
275,..((...))..((((((....))))...))..........((.....))...((((......)))).,14,-5.988,17,0.000398
276,...........((((.(((....))))))).......(.......)......((((......)))).,12,-5.988,6,0.000398
277,..(.....)..((((.(((....)))))))......(...........)...((((......)))).,13,-5.987,7,0.000398
278,..((...))..((((.((......))))))......((....))........((((......)))).,14,-5.987,14,0.000398
279,...(((............)))........((((.......))))........((((......)))).,11,-5.986,28,0.000397
280,..(.....)..((((.(((....)))))))......((....))........(((........))).,13,-5.985,12,0.000396
281,..((...))..((((.(((....)))))))......(......)........((((......)))).,14,-5.985,10,0.000396
282,.....(..((.((((..((....)).))))..))..)...............((((......)))).,13,-5.98,12,0.000393
283,...((..(((.((.(((((........(((.........)))......))))).)).))).))....,15,-5.979,40,0.000393
284,.....(...).((((.(((....)))))))..........((.....))...((((......)))).,14,-5.978,2,0.000392
285,.....(....)...(((....))).....((((.......))))........((((......)))).,12,-5.978,28,0.000392
286,...((.....)).((((....))))....((((.......))))........((((......)))).,14,-5.977,29,0.000391
287,...........((((.(((....)))))))....(.....)..((.....))((((......)))).,14,-5.976,9,0.000391
288,.......(((.((.(((((..........((((.......))))....)))))).).))).......,14,-5.976,41,0.000390
289,...........((((.(((....)))))))..........((.....))...((..((...)).)).,13,-5.974,7,0.000389
290,..((...))..((((((....)))...)))..........((.....))...((((......)))).,14,-5.974,15,0.000389
291,........((.((((...........))))..))..((....))........((((......)))).,12,-5.97,18,0.000387
292,...........((((..((....)).))))..........((.....))...(((.((...))))).,13,-5.968,7,0.000386
293,...........((((..((....)).))))..........((.....))...((((.(...))))).,13,-5.968,4,0.000386
294,...........((((((....))...))))..........(((...)))...((((......)))).,13,-5.968,11,0.000385
295,.........(.((((.(((....)))))))..)..........((.....))((((......)))).,14,-5.968,10,0.000385
296,..(.....)....((((....))))....((((.......))))........((((......)))).,13,-5.965,28,0.000383
297,...........((((..((....)).))))..........(.......)...((((......)))).,11,-5.963,4,0.000382
298,.......(.(.((((.(((....)))))))....).)...(((...)))...((((......)))).,16,-5.96,6,0.000380
299,...........(((((......)))...))..........((.....))...((((......)))).,11,-5.953,12,0.000375
300,...........((((((....))...))))......((....))........((((......)))).,12,-5.947,17,0.000372
301,...........((((...........))))..........(((...)))...(((........))).,10,-5.947,10,0.000372
302,.......(((.((.(((((.....(((.............))).....))))).)).))).......,13,-5.945,37,0.000371
303,..........(..((((....)))).).............(((...)))...((((......)))).,12,-5.941,20,0.000368
304,...........((((...........))))..(...)...............((((......)))).,9,-5.94,12,0.000368
305,...........(((((......))...)))..........((.....))...((((......)))).,11,-5.939,10,0.000367
306,......(.((.((((..((....)).))))..))..)...............((((......)))).,13,-5.938,12,0.000366
307,..((...)).....(((....)))...(((.........)))..........((((......)))).,12,-5.937,26,0.000365
308,..((...))..((((.(((....)))))))..........(((...)))...(((........))).,15,-5.934,8,0.000364
309,...........((((..(......).))))......................((((......)))).,9,-5.93,8,0.000361
310,.......(((.(......).)))....(((.........)))..........((((......)))).,11,-5.929,25,0.000361
311,...........((((...........))))......(...........)...((((......)))).,9,-5.929,11,0.000361
312,..((...))..((((.(((....)))))))..(...)...............((((......)))).,14,-5.927,10,0.000360
313,.........(.(((..(((....))).)))..).......(((...)))...((((......)))).,14,-5.927,6,0.000360
314,...........((((...........))))......((....))........(((........))).,9,-5.926,16,0.000359
315,..((...))..((((..((....)).))))...((.....))..........((((......)))).,14,-5.926,12,0.000359
316,..........(..((((....)))).).........((....))........((((......)))).,11,-5.921,26,0.000356
317,.......(((.((....)).)))....(((.........)))..........((((......)))).,12,-5.921,25,0.000356
318,..(.....)..((((.(((....))))))).............(((...)))((((......)))).,15,-5.92,12,0.000355
319,....((..((.((((..((....)).))))..))..))..((.....))...((((......)))).,16,-5.916,10,0.000353
320,..((...))..((((.(((....)))))))......(...........)...((((......)))).,14,-5.916,9,0.000353
321,..((...))..((((.(((....)))))))......((....))........(((........))).,14,-5.914,14,0.000352
322,.........(.(((..(((....))).)))..)...((....))........((((......)))).,13,-5.906,12,0.000347
323,...........((((.(((....)))))))..............(.....).((((......)))).,12,-5.904,6,0.000346
