,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
174,.......((.(((......))).)).....((((...(.....(((((((....)))........))))).)))).,17,-4.986,13,0,0.000414
175,...(((.((.(((......))).)).....)))..............(((....))).....(.(...).).....,13,-4.982,19,0,0.000411
176,.......((.(((......))).))...(((.......)))......(((....)))..........(.....)..,12,-4.98,18,0,0.000410
177,.......((.(((......))).)).............(....)...(((....))).....((.......))...,11,-4.977,17,0,0.000408
178,.......((..(((......)))..))...((((...(((.......(((....)))...........))))))).,15,-4.975,14,0,0.000407
179,.......((.(((......))).))..((((.......)))).....(((....)))....(............).,13,-4.969,20,0,0.000402
180,.......((.(((......))).))......................(((....)))............(....).,9,-4.967,14,0,0.000401
181,.......((.(((......))).)).....(((.(((.((......))..))).)))..(.((.(...).))..).,17,-4.967,31,0,0.000401
182,.......((.(((......))).)).....(((....(((....(..(((....)))..)........))).))).,15,-4.967,4,0,0.000401
183,.......((.(((......))).)).....((((....((....((((((....)))........))))).)))).,17,-4.966,8,0,0.000401
184,...........((((....))))......((.......)).......(((....)))...................,9,-4.966,28,0,0.000401
185,.......((.(((......))).))............(((.(.....(((....))).........).))).....,12,-4.964,10,0,0.000399
186,...(((.((.(((......)))...))...)))....(((.......(((....)))...........))).....,14,-4.962,17,0,0.000398
187,.......((.(((......))).)).(.....)..............(((....)))...................,9,-4.959,15,0,0.000396
188,.......((.(((......))).))..((((.......)))).....(((......((......))......))).,14,-4.954,28,0,0.000392
189,.......((.(((......))).)).............(....)...(((....)))..((............)).,11,-4.95,17,0,0.000390
190,.......((.(((......))).))..((((.......)))).......(....).....................,10,-4.947,23,0,0.000388
191,.......((.(((......))).)).....(((((((.((......))..)))..................)))).,14,-4.944,19,0,0.000386
192,.......((.(((......))).)).........((....)).(((((((....)))........)))).......,14,-4.944,25,0,0.000386
193,.......((.(((......))).)).....(((....((....(((((((....)))........)))))).))).,17,-4.941,11,0,0.000384
194,.......((.(((......))).)).....((((...(((......((((....))).......)...))))))).,16,-4.94,2,0,0.000384
195,...........((((....))))....((((.......)))).(((((((....)))........)))).......,15,-4.939,39,0,0.000382
196,...(((.((..((((....))))..))...)))..............(((....)))...................,12,-4.939,32,0,0.000382
197,.......((.(((......))).)).((...))..............(((....)))...................,10,-4.932,16,0,0.000378
198,..(.....)..(((......))).......((((...(((.......(((....)))...........))))))).,14,-4.929,13,0,0.000376
199,.......((.(((......))).))..((((.......))))......((....))......(.(...).).....,13,-4.926,23,0,0.000375
200,...........((........)).......((((...(((.......(((....)))...........))))))).,12,-4.924,11,0,0.000373
201,..........(((......))).....((((.......)))).....(((....))).....(.(...).).....,12,-4.922,25,0,0.000372
202,...........(((......)))....((((.......)))).....(((....)))...................,10,-4.916,31,0,0.000368
203,.......((.(((......))).))...(((.......)))......(((....)))..(.((.(...).))..).,15,-4.913,21,0,0.000366
204,...........((((....))))..............(((.......(((....)))...........))).....,10,-4.904,21,0,0.000361
205,.....................(((....)))................(((....)))...................,6,-4.89,27,0,0.000352
206,.......((.(((......))).)).......(.((....)).)...(((....))).....(.(...).).....,13,-4.887,21,0,0.000350
207,.......((.(((......))).))....((.......)).......(((....))).....(.(...))......,12,-4.886,17,0,0.000350
208,.......((.(((......))).))..((((.......))))....((((....)))..)..(.(...).).....,15,-4.884,23,0,0.000349
209,.......((.(((......))).))......((.((....)).))..(((....)))............(....).,13,-4.884,20,0,0.000348
210,.......((.(((......))).))..((((.......)))).......((.................))......,11,-4.882,26,0,0.000347
211,.......((.(((......))).))......................(((....)))..........((...))..,10,-4.877,15,0,0.000345
