,Suboptimal proxy structure,Base pair,Energy (kcal/mol),MFE distance,AptaMat,Probability
203,...((((..((....)).))))..(((((...(.......)...((((......))))..)))))...,16,-6.238,4,0,0.000477
204,((.((((.(((....)))))))..))..((....))........((((......))))..........,15,-6.23,19,0,0.000470
205,...(((((......)))...))..(((((...((.....))...((((......))))..)))))...,16,-6.228,12,0,0.000469
206,.(.((((...........))))..).......(((...)))...((((......))))..........,12,-6.226,19,0,0.000467
207,...((((..(......).)))).((((((...(((...)))...((((......))))..))))))..,18,-6.226,8,0,0.000467
208,...((((...........))))..(((((...(((...)))...(((........)))..)))))...,15,-6.222,10,0,0.000464
209,...((((.(((....)))))))......((....))........((((......))))..(...)...,14,-6.221,17,0,0.000463
210,..(..((((....)))).).....(((((...(((...)))...((((......))))..)))))...,17,-6.217,20,0,0.000460
211,...(((((......))...)))..(((((...((.....))...((((......))))..)))))...,16,-6.214,10,0,0.000458
212,...((((..((....)).))))......((....))..(.(..(((((......)))))..).)....,15,-6.21,22,0,0.000455
213,...(((..(((....))).)))..(((....(((.........(((((......)))))))))))...,17,-6.209,14,0,0.000454
214,...((((...........))))......((....))....(..(((((......)))))..)......,12,-6.208,25,0,0.000453
215,.(.((((...........))))..)...((....))........((((......))))..........,11,-6.205,24,0,0.000451
216,...((((((....))))...))..........(((...)))...((((......))))..........,13,-6.199,25,0,0.000446
217,...((((.(((....)))))))......((....))...(((..((((......)))).....)))..,16,-6.196,19,0,0.000444
218,...((((.(((....)))))))..................((.(((((......)))))....))...,14,-6.19,17,0,0.000440
219,.(.((((.(((....)))))))..).......((.....))...((((......))))...(....).,15,-6.189,12,0,0.000439
220,...((((.(((....)))))))..(((((.(.............((((......))))).)))))...,17,-6.189,6,0,0.000439
221,...((((..((....)).)))).........(((.((.....))((((......)))).)))......,15,-6.188,22,0,0.000438
222,...((((((....)))...)))..........(((...)))...((((......))))..........,13,-6.185,23,0,0.000436
223,...((((.(((....))))))).((((((...(((...)))....(((......)))...))))))..,19,-6.185,6,0,0.000436
224,...((((.(((....))))))).((((....(((.((.....))((((......)))).)))))))..,20,-6.185,16,0,0.000436
225,...((((((....))...)))).((((((...((.....))...((((......))))..))))))..,18,-6.179,11,0,0.000432
226,...((((((....))))...))......((....))........((((......))))..........,12,-6.178,30,0,0.000431
227,...((((.(((....)))))))..........((.....))...(((.((...)))))..........,14,-6.173,15,0,0.000427
228,...((((.(((....)))))))..........((.....))...((((.(...)))))..........,14,-6.173,12,0,0.000427
229,...(((..(((....))).)))......................((((......))))..........,10,-6.173,16,0,0.000427
230,...((((.((......))))))..(((....(((.........(((((......)))))))))))...,17,-6.17,14,0,0.000425
231,...((((.(((....)))))))..........(.......)...((((......))))..........,12,-6.168,12,0,0.000424
232,...((((((....)))...)))......((....))........((((......))))..........,12,-6.165,28,0,0.000421
233,...((((...........)))).((((((...((.....))...(((........)))..))))))..,15,-6.158,10,0,0.000417
234,......(((....)))....((.........))...........((((......))))..........,9,-6.155,32,0,0.000414
235,...((((.(((....)))))))..(((.(...(((...)))...((((......))))..).)))...,18,-6.154,4,0,0.000414
236,...((((..((....)).)))).((((((...(((...)))...(((........)))..))))))..,18,-6.152,8,0,0.000413
237,...((((..((....)).))))....(.....)...........((((......))))..........,11,-6.144,16,0,0.000407
238,.(.((((.(((....)))))))..)...((.(((.........(((((......))))))))...)).,18,-6.143,22,0,0.000406
239,...((((...........))))...((.....))..........((((......))))..........,10,-6.143,20,0,0.000406
240,...((((..((....)).))))..................(..(((((......)))))..)......,12,-6.138,18,0,0.000403
241,...((((.(((....)))))))..........(((...)))....(((......)))...........,13,-6.138,14,0,0.000403
242,...((((...........))))..(((((......(((...)))((((......))))..)))))...,16,-6.136,16,0,0.000401
243,.(.((((..((....)).))))..)...................((((......))))..........,11,-6.135,17,0,0.000401
244,...((((.((......))))))......................((((......))))..........,10,-6.135,16,0,0.000401
245,...((((.(((....)))))))....(((...((.....))...((((......))))..))).....,16,-6.127,4,0,0.000396
246,...((((...........))))..(((.....((.....))...((((......))))....)))...,13,-6.125,10,0,0.000394
247,...((((..((....)).))))..(((.....(((...)))...((((......))))....)))...,16,-6.119,8,0,0.000390
248,...((((.(((....)))))))......((....)).........(((......)))...........,12,-6.117,19,0,0.000389
249,...((((..((....)).))))..(...)..(((.........(((((......))))))))......,15,-6.114,20,0,0.000387
250,...(((.............))).((((((...(((...)))...((((......))))..))))))..,16,-6.112,12,0,0.000386
251,...((((.(((....)))))))..(((((...((.....))..((........)).....)))))...,16,-6.102,10,0,0.000379
252,...((((.(((....))))))).........((..(((...)))((((......))))..))......,16,-6.101,21,0,0.000378
253,...((((.(((....)))))))..(((....(((.........((((........))))))))))...,17,-6.097,14,0,0.000376
254,...((((.(((....))))))).((((.(...((.....))...((((......))))..).))))..,18,-6.09,4,0,0.000371
255,...((((..((....)).))))......((....))...((..(((((......)))))...))....,15,-6.083,21,0,0.000367
